Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas475             Pavarde475                      4         7         3         6         4         6         9         8         4        10         6         7         8         3         2        10         9         5         2         7         6
Vardas476             Pavarde476                      7         3         9         2         4         8        10         1         9         2         4         9         9         8         7         2         9         3         1         7         6
Vardas477             Pavarde477                      9         2         9         8        10         3         1         6         1         4         3         8         8        10        10         4         8         8         9         8         3
Vardas478             Pavarde478                      3         1         2         6         7         5         5         2         8         5         5         5         7         9         4         4         9         4         7         5         1
Vardas479             Pavarde479                      6         1        10         2         7         4         2         7         2         7         6        10         1         3         4        10         3         3         6         7         7
Vardas480             Pavarde480                      6         8         9         7         4         4         6         2         2        10         1         2         5         2         7         5         5         5         5         6         1
Vardas481             Pavarde481                     10         8         5         5         4         4         8        10         3         8         5         3        10         1         2         1         8         2         1         2         5
Vardas482             Pavarde482                      4         3        10        10         7         8         7         4         1         4         7         4         1         1        10         8        10         9         1         5         7
Vardas483             Pavarde483                      6         7         5         1         8         8        10         9         5         6         9        10         7         6         8         3         2         4         8         3         2
Vardas484             Pavarde484                      4         5         7        10         7        10         4         6         4        10         9         2         6         1         5         4         1         1         3         2         9
Vardas485             Pavarde485                      1        10        10        10         6        10         5         2         6         2         5         9         7         5         6         5         3         4         9         4         9
Vardas486             Pavarde486                     10         7         3        10         7         3         2         2         9         1         9         2         3         8         3         7         1         1         4        10         5
Vardas487             Pavarde487                      5         4         3         4         5         5         4         9         7         6         9         4         8         7         6         2         3         7         3         9         1
Vardas488             Pavarde488                      1         2         4         4         5         5         7         7         7         4         5         2         8        10         9         5         7         5         5         5         4
Vardas489             Pavarde489                      3         4         9         8         3         9         4         7         3         5         9         1        10         8         6         5         2         5         9         7        10
Vardas490             Pavarde490                      8         1         6         6         5         2         3         4         6         7         4        10         5        10         2         5         8         1         4         7        10
Vardas491             Pavarde491                      3        10         4         4         3        10         5         5         6         3         7         3         3        10         7         5         1         4         9         3         7
Vardas492             Pavarde492                      3         3         2         7         8         6         5         9         9        10         9        10         8         9         1         1         4         2         5         5         5
Vardas493             Pavarde493                      7         5         3         8         4         3         9         6         6         1        10         9         7        10         8         2         6        10         8         8         5
Vardas494             Pavarde494                      4        10         2         5         3         3         6         5         8         4         3         9         8        10         2         3         3         5         1         1         1
Vardas495             Pavarde495                      5         1         5         1         5         4         9         5         4         5         5         5         9         3         3         3         8         6         6         9         2
Vardas496             Pavarde496                      9         8        10         3         6         1         6        10         9         8         1         7         2         1         4         7        10        10         7         6         4
Vardas497             Pavarde497                      3         1         4        10         2         9        10         8         6         1         5         1        10         2         3         4         4         1         1         8         3
Vardas498             Pavarde498                      5         9         6        10         1        10         3        10         3         9         6         8         5         1         6         7         4         1         8         7         2
Vardas499             Pavarde499                      9         3         4         1         3        10         5         1         8         1         7         1         9        10         9         2         8         2         7         3         1
Vardas500             Pavarde500                      5         4         4         4         8        10        10         8         1         3         3         8         1         2         6         4         2         5         3         9         3
Vardas501             Pavarde501                      1         6         9         6         6        10         3         1         5         7         2        10         4         3         1        10         6         8         7         9         9
Vardas502             Pavarde502                      9         1         2         5         9         2         8         3         7         2         7        10         2         3         6         1         4         5         7        10         5
Vardas503             Pavarde503                      5         5         7         9         2         8         6         4         8         3         9         6         2         9         6        10         3         5         1         4         9
Vardas504             Pavarde504                      2         1         6         3         7         2         7         4         8         9         9         6         4         2         6        10         1         2         9         9         4
Vardas505             Pavarde505                      4         1         9         4         9         4         8         3         9         7         7         5         2         5        10         5         6         1         8         5         8
Vardas506             Pavarde506                      4         6         4         9         2         3         3         5         8         6         2         4         9         6         6         7         3         5         8         5         8
Vardas507             Pavarde507                      3         3         6        10         7         8         7         3         5         5         6         8         5         7         6         7         1         5         2         4         7
Vardas508             Pavarde508                      6         6         6         2         8         1         5        10         2         4         3         4         8         9         1         7         8         3         6         7         6
Vardas509             Pavarde509                      9         6         7         7         8         8         4         6         9         1         8         3         7        10        10        10         5         4         6        10         7
Vardas510             Pavarde510                      1         7         5         9         4         6         9         3         6         3         7         3         7         3         1         6         9         5         8         6         9
Vardas511             Pavarde511                      6         5         1         1         8         3         9         2        10         3         9         6        10         3         8        10         1         4        10        10         5
Vardas512             Pavarde512                      3         6         2         4         5         3         1         2         1        10         1         9         2         5         1         4         6         8         5         9         8
Vardas513             Pavarde513                      7         7         3         9         5         4         2        10         5         6         5        10         6         3         1         6        10         8         7         9         1
Vardas514             Pavarde514                      6         2         2         9         1         5         6         3         9         9         2         9        10         8         1         2         2         4         6         4         2
Vardas515             Pavarde515                      5         1         3         8         5         6         3         2         6         7         9         7         4         4         8         6         7         7         7         6         3
Vardas516             Pavarde516                     10         9         2         9         4         8         2         2        10        10         8         3         2         5         1         6         8         4         4         4         6
Vardas517             Pavarde517                      5         9        10         3         2         6         4         4         1         9         3        10        10         4         3         2         4         9         9         2         8
Vardas518             Pavarde518                      1         6         6         2         1         2         4         4         5         7         7         5         9         7         2         2         6         4         3         5         4
Vardas519             Pavarde519                     10         7         1         4        10         3         1         1         5         9         2        10         3         2         6        10         3         5         4         2         6
Vardas520             Pavarde520                      4         4         4         7         7         3         7         4        10         1         6         1        10         2         4         3         9         9         5         3         8
Vardas521             Pavarde521                      6         4         4        10         7         6        10        10         7         1         1         6         1         4         2         3         5         2         8         6         8
Vardas522             Pavarde522                      3         8         1         2        10         3         8         5         7         1         5         9         4         7         4         5         9         8         8         5         1
Vardas523             Pavarde523                      7         6         6         1         1         9         6         8         3         5         2         3         6         8         3         1         7         3         9         4        10
Vardas524             Pavarde524                     10         5         8         4         9         6         6         7         2        10         3         3        10         6         3         2         9         5         8         1         9
Vardas525             Pavarde525                      7         3         5         8         3         1         6         4         6         4         4         7         7        10        10         8         4        10         6        10         6
Vardas526             Pavarde526                      5         9         5         7         9         9         1         7        10         8        10         1         6         2         3        10         5         2         7         3         9
Vardas527             Pavarde527                      3         4         3         8        10         1         1         3         8         2         3         4        10         2         1         6         4         6         7         2         6
Vardas528             Pavarde528                      5         5         7         5         3         9         4         9         4         2         4        10         3         2        10         1         6         7         5         7         4
Vardas529             Pavarde529                      1         7        10        10         8         8         9         5         9         5         8         2         8         4         1        10         9         6         8         7         9
Vardas530             Pavarde530                      2         2         5         4         6         3         1         6         6         9         2         2         1         9         3         8         9         4         5         9         1
Vardas531             Pavarde531                      9        10         8         5         9         3         3         8        10         5         6         5        10         7         7         6         9         9         1         8         9
Vardas532             Pavarde532                      6         1         9         9         4         9         4         7         5         8         7         8         3         1         6         3         2         1         9         6         5
Vardas533             Pavarde533                      4         4         4         2         4         7         7         6         6        10         3         3         8         6         3         8         1         2         2         2         9
Vardas534             Pavarde534                      7         8         2         3         3         5         1         7         8         3         6         7         4         1         3         3         5         8         9        10         6
Vardas535             Pavarde535                      1         2        10         2         9        10         1         2         2         1        10         2         5        10         5        10         6         5        10         9         9
Vardas536             Pavarde536                      2         9         6         5         8         5         9         1         5         4         9        10         4         8         7         8         8         3         6         2         5
Vardas537             Pavarde537                      1         2         5         3         6         9         5         7         6         2        10         4         8        10        10         7        10         2         5         1         3
Vardas538             Pavarde538                      6         7         6         8         7         6         8         8         6         3         3         5         9         2         5         8         4         2         5         7         8
Vardas539             Pavarde539                      8         3         5         2         8         5         3         6         5         1         8         3         8         4         6         8         2         6         4         6         7
Vardas540             Pavarde540                     10         9         5         2         6         3         1         1         2         4         8         6         4         7         9         1         6         3         3         7         3
Vardas541             Pavarde541                     10         1         8         1         6         5         3        10         1         2         4         3         6        10         6         2         9         6         2         9         7
Vardas542             Pavarde542                      2         6         2         9         9         9         6         2         7         7         7         9         5         4         5         4         4         5         2         8         6
Vardas543             Pavarde543                      5        10         6         6        10         9        10         1         4         9         9         7         8         1         1         9         7         5         9         3         4
Vardas544             Pavarde544                      9         3         3         6         7         5         2         3         8         9         5         2         8         4         3         2         5         2         2         2         6
Vardas545             Pavarde545                      5         1         1         2         5         9         8        10         2        10         3         1         8        10         6         6         9         1         4         6         8
Vardas546             Pavarde546                      7        10         3         1         1         7         4         4         8         7         3         1         8         1         6         8         1         3         8         1         5
Vardas547             Pavarde547                      3         8         6         7         1         4         4         4         4         6         5         1         4        10         8         4         1         3         5         9         8
Vardas548             Pavarde548                     10         3         2         6         1         4         7         4        10         4         6         1         6         3         4         1         2         4         7         2        10
Vardas549             Pavarde549                      6         3         4         5         3        10         8         8         6         7         9         6         2         9         9         4         2         9         9         5         2
Vardas550             Pavarde550                      1         6         4         2         6         7         5         9         7         9         3         6         2         9         9        10         1         5         5         6         3
Vardas551             Pavarde551                      5         3         5         1         4         6         8         6         6         4         5        10         4        10         6         8         5         8         3        10         7
Vardas552             Pavarde552                      9         1         4         3         4        10         3         9         4        10         5         3         5        10         9         6         8         4         9         6         2
Vardas553             Pavarde553                      4         2         9         9         7         6         2         6         7        10         4         2         6         9         8         2         5         8         6         2         8
Vardas554             Pavarde554                      9         8         9         7         4         7         6         2         3         2         6         3        10         2         3         5         5         9         8         4         9
Vardas555             Pavarde555                      4         4         4         4         8         9         1         2         2         6         5         3         4         7         9         8         3         8         6         6         6
Vardas556             Pavarde556                      1        10         1         9         5         4         9         5        10         6         9         4         6         7         7        10         2         2         6         2         3
Vardas557             Pavarde557                      2         9         9         6         6         6         1         8         2         1         2         9         9         3         7         2         9         9         1         6         5
Vardas558             Pavarde558                      8         6         4         4         7         2         8         8         4         4         9         6         8         8         7         7         4         2         7         6         6
Vardas559             Pavarde559                     10         7        10         8         7         8         1         9         1         1         2         1         8         7         9         5         4         6         6         2         8
Vardas560             Pavarde560                      5         3         9         4         9         4         8         5         1         3        10         4         6         5         6        10         7         8         8         3         6
Vardas561             Pavarde561                      6         7         6         4         5         5         2         5         3         7         7         2         1         6         7         5         6        10         7         1         3
Vardas562             Pavarde562                      4         7         8         7         2         7         2         6         5         9         4         4         1         3         5         6         4        10         5         1         5
Vardas563             Pavarde563                     10         4         2         7         1         6         4         5         4         7        10         2         6         5         9        10         4         7         8         1         5
Vardas564             Pavarde564                     10         9         8         7         8         3         5         5         3         3         8         1         2         5         5         2         1         8         8         2         1
Vardas565             Pavarde565                      1         7         2         5         4         5        10         4         7         6         4         7         7         2         8         3         6         7         1        10        10
Vardas566             Pavarde566                      3         5         6         2         6         4        10         1         3         9         8         1         1         3         2        10         2         6         1         9         9
Vardas567             Pavarde567                      7         5         5         1         5         5         6         4         7         6        10         3        10         1         8         9         2         5         1         6         2
Vardas568             Pavarde568                      3         6        10         8         6         7         9         3         9         5         2         8         6         8         8         4         6         7         4         3         9
Vardas569             Pavarde569                      4         7         4         8         9         8         3         1         6         8         8         9        10        10         4         8         4         6         7         2         8
Vardas570             Pavarde570                      7         5         4         7         2         2         9         7         6         3         7        10        10         9         5         2         4        10         4         3         6
Vardas571             Pavarde571                      4         2         4         7         3         1         9         1         8         5         4         8         3         3         6        10         8         3         9         1         8
Vardas572             Pavarde572                      6         2        10         7         8        10         9         8         3         7         7         7         6         1         5         4         9         9         3         1         1
Vardas573             Pavarde573                      3         2         2         5         9         7         5         1         4         5        10         2         3         5         7         1         6         3        10         3         1
Vardas574             Pavarde574                      1         6         6         6         2         2         6         1         4         5         4         6         9         3         5         4         2         1         4         9         3
Vardas575             Pavarde575                      3         8         4         3         5         1         6         3         8         1         1        10         3         4         6         9         5         4         5         9         9
Vardas576             Pavarde576                      1         2         4         9         2        10        10         4         9         1         9         1         7         6         5         8        10         7         7        10         9
Vardas577             Pavarde577                      7         5        10         2         2         8         9         1         7         7         6        10         1         9         1         1         2         7         9         9         6
Vardas578             Pavarde578                      3         1         9         1         8         4         9         6         5         3         8         4         8        10         1         7         1         5         1         1        10
Vardas579             Pavarde579                      6         9         1        10         9         5         9         7         7        10         5        10         5        10         8         1        10         6         2         7         6
Vardas580             Pavarde580                      1         1         9         5         1         2         7         3         9         7         5         7         8         8         5         9         1         7         3         9         9
Vardas581             Pavarde581                      1         8         8         3         5         8         1         8        10        10         5         8         9         8         1         1         7         1         5         5         1
Vardas582             Pavarde582                      7         4         7         1         1         8         4         2         9         9         4         5         9         3         1         2         5         9         4         5         9
Vardas583             Pavarde583                      3        10         4         2         9         6         7         4         7         1         9        10         9         1         8         7         7         3         9        10         6
Vardas584             Pavarde584                      9         9         6         4        10        10         7         3        10         8        10         5         5         3         1         6         8         8         4         7         5
Vardas585             Pavarde585                      6         6        10         5         7         4         3         4         7         7         7         8         7         1        10         2         6        10        10         4         3
Vardas586             Pavarde586                      7         7         2         1         4         3         6         5        10         4         7        10         2         3         8         9         1         8         5         3         2
Vardas587             Pavarde587                      8         3         2         1         5         9         1         5         4        10         1        10         8         5         8         9         2         8         2        10         5
Vardas588             Pavarde588                      4         4         4         1         3         2         6         7         6         3         7         9         6         4         7         1         3         4         8         1         3
Vardas589             Pavarde589                      1         8         9         4         8         4         6         8         1         5         9         6         3         4        10         6         8         1         8         4         9
Vardas590             Pavarde590                     10         3         3         7         2         1         9         9         2         6         8         6         5         4         9         4         2         4         6        10         8
Vardas591             Pavarde591                      4         3         5         2         9         4         7         4         6        10         5         1         9         1         4         2         8         9         2         3        10
Vardas592             Pavarde592                      8         5         9         8         7         9         4         5         4         2         8         7         8         3         7         6        10         8         3         5         7
Vardas593             Pavarde593                     10         5         3         3         1         4         4         2         6         6         5         2         2        10         8         4         6         5         4         7         1
Vardas594             Pavarde594                      4         8         2         8         2         4         8         5         1         8        10         7        10         2         7        10         8         4         1         3         8
Vardas595             Pavarde595                      9         2        10         4         8         2         9         6         3         7         7         8         1         7         1        10         2         1         1        10         2
Vardas596             Pavarde596                      9         6         6         8         8         4         1         2         7         2         5         1         6         2         4         3        10         4         7         2         4
Vardas597             Pavarde597                      7         7         2         7         8        10         9         5         5         2         4         7         8         1         5         4         9         8         1         1         7
Vardas598             Pavarde598                      8         9         1         8         1         8         3         9         4         2         9         1         4         1         1         8         8         5         8        10         6
Vardas599             Pavarde599                      8         4         1        10         9         7         4         4         9         1         6         5         5        10         9         7         2         1        10         2        10
Vardas600             Pavarde600                      2         8         9         1         9        10         8        10         7         4         8         4         8         9         1         5        10         3         2         7        10
Vardas601             Pavarde601                      4         6        10         4         2         9         3         3         7         5         5         3         9        10         3        10        10         4         5         8         3
Vardas602             Pavarde602                     10         3         6         5         3         8         6         8         8         2         1         9         2        10         3         7         9         4        10        10         9
Vardas603             Pavarde603                     10         7         5         5         2         8         5         2         6         2         5         1         3        10         1         5         6         5         9         9        10
Vardas604             Pavarde604                      6         2         7         2         8         7         2         9         9         9         8         8         9         9         9         1         4        10         2         8         7
Vardas605             Pavarde605                      3         9         4         2         2         5         3         6         9        10         3         7         5         8         5         1        10         9         2         3         2
Vardas606             Pavarde606                      7         2         8        10         5         1         1         4         5        10         1         4         5         3         7        10         2         7         3         4         1
Vardas607             Pavarde607                      7         4         3         9         3         7         6         8         8         5         9         4         2         3         1         8         3         4        10         1         6
Vardas608             Pavarde608                      3         5         3         4         6         5         6        10         1         3         8         4         8         6         1         7         7         9         3         3         2
Vardas609             Pavarde609                      1         4         7         9         1         4         1         4         8         2        10         8         2         6        10         7         3         2         9         5         2
Vardas610             Pavarde610                     10        10         1         3         7        10         8        10         4         7         3         2         1         2         1         7         4         1         7         8         2
Vardas611             Pavarde611                      9         8         6        10         7        10         1         1         6         1         4         8         9         3         1         1         2         5         8         4         9
Vardas612             Pavarde612                      3         9         6         9         2         4         7         9         8         1         2         9         1         2         1         1         5         4         7         4         8
Vardas613             Pavarde613                      3         8         8         8         7         6         5         3         2         2         2         4         8         2         6         6         3         1         2         2         2
Vardas614             Pavarde614                      5         7         7         6         4         3         1         5         9         3         1         6         8         3         1         9         3        10        10         7         3
Vardas615             Pavarde615                      8         2         1         6        10         5         4         2         3         9         8         7        10         7         6         2         5         2         4         4         9
Vardas616             Pavarde616                      4         4         2         4         6         3         9         6         5         5        10         6         3         9         5         6        10         3         7         3        10
Vardas617             Pavarde617                      9         6         9         4         4         6         3         8         4         5         8        10         3         3         5         2         8         4         7         1         8
Vardas618             Pavarde618                      4         4         8         9         4         5         3         4         7         7         6         6        10         8         1         6         5         1         9         4         5
Vardas619             Pavarde619                     10         7         8        10         2         2         7         6         2         6         8         2         5         1         8         6         5         1         9         1        10
Vardas620             Pavarde620                      3         7         7         9         4         2         9         5         6         3         1         4        10         2         8         1        10         8         4         4         7
Vardas621             Pavarde621                      1         1         4         5         4         6         2         5         7         2        10         1         2         4         3         8         2         4         1         3         9
Vardas622             Pavarde622                      7         4         6         7         9         5         2         3         3         6         6         2         5        10         6         3         2         7         1         5         6
Vardas623             Pavarde623                      4         6         5         2         7         6        10         7         7         2         5         8         6        10         2        10         7         1         3         9         7
Vardas624             Pavarde624                      4         7         5         8        10         4         2         9         4         1         8         9        10         7         8         5         1         1         9         5         6
Vardas625             Pavarde625                      1         3         2         2         3         7         8         7         5         6         9         7         3         5         9         6        10         7         8         2         4
Vardas626             Pavarde626                      3         1         8         1         1         2         8         7         6         2         3         1         4         2         6         6         1         3         7         4         7
Vardas627             Pavarde627                      7         1         3         7        10         7         5         5         3         1         1         4         4         3         2         2         7        10         6         8         3
Vardas628             Pavarde628                      3         4         4         8         6        10         2         3         4         3         4         4        10         7         1         8        10         7         2         2         1
Vardas629             Pavarde629                      5         5        10         8         7         1         3         6         1         8         1         8         7         4         2         5         2         5         3         7         4
Vardas630             Pavarde630                      2         3         6         8         2         5         1         3         3         8         3         6         9         8         3         5         7         2         6         9         8
Vardas631             Pavarde631                      2         4         6         2         4         9         7         3         1        10         9         1         1        10         3         4         8         4         5         2         7
Vardas632             Pavarde632                      8         7         5         2         9         3        10         9         7         2         3         3         1         7         5         7         9         7         1         4         4
Vardas633             Pavarde633                      4         4         8        10         7         8         8         9         5         7         4         6         6         9         4         8         2         5         9         7         5
Vardas634             Pavarde634                      7         5         2         9         7        10         1         9         4         5         3        10         6         4         2         4         4         8         7        10         9
Vardas635             Pavarde635                     10         8         1         5         9         1         5        10         1         5        10         8         9        10         2         3         3         3         9         9         6
Vardas636             Pavarde636                     10        10         2         2         3         7         6         3         9         4         1         1         3         1         6         6        10         8         3         9        10
Vardas637             Pavarde637                      3         8         6         7         8         8         6         5         4         1         6         4         1         4         3         2         5         5         9         9         6
Vardas638             Pavarde638                      3        10         3         3         4         7         6         5         3         4         3         9         9         1         5        10         7         3         2         3         5
Vardas639             Pavarde639                      7         7         8         2        10         8         6         3         8         5         6        10         7         7         1         6         6         9         1         4         5
Vardas640             Pavarde640                     10         7        10         3         7         5         3         4         4         7         8         8         5         3         4         3        10         1         9        10         5
Vardas641             Pavarde641                      4         8         4         5         6        10         5         1         6         3         8         6         1         4         3         3         3         4        10        10         6
Vardas642             Pavarde642                      5         9        10         4         3         7         4         8         3         7         4         7         5         4         5         8         5         9         7         6         9
Vardas643             Pavarde643                     10         4         9         7         7        10         6         4         1         6         8         8         8         6         9         2         4         5         1         7         4
Vardas644             Pavarde644                      1         3         2         3         9         1         4        10        10         9         2        10         6         7        10         1         7         2         4         6         9
Vardas645             Pavarde645                      6        10         8         2         7         7         3         2         2         5         7         3         4         3         7         8         1         6         5         3         8
Vardas646             Pavarde646                     10         4        10         2         8         3         7        10         2         2         3         7        10         1         8         9         7         2         9         2         3
Vardas647             Pavarde647                      8         1         4         4         7         8         6         2         1         7         4         6         5         9         2         9         7         8         4         8         8
Vardas648             Pavarde648                      2        10         5         5         1         4         7         2         1         8         3         7         8         2         8         9         8         7        10         5         9
Vardas649             Pavarde649                      6         1        10         9         5         7         9         8         7         6         9         6         5         2         5         1         1         9         2         9         8
Vardas650             Pavarde650                      3        10         4         3         8         7         3         4         6         6         7        10        10         4         6         6         7        10         9         3        10
